label,info,image path,page url
lesser adjutant,"The lesser adjutant (Leptoptilos javanicus) is a large wading bird in the stork family Ciconiidae. Like other members of its genus, it has a bare neck and head.",https://upload.wikimedia.org/wikipedia/commons/c/ca/Lesser_Adjutant_%2CYala_National_Park_.jpg,https://en.wikipedia.org/wiki/Lesser_adjutant
lilac roller,"The lilac-breasted roller (Coracias caudatus) is an African bird of the roller family, Coraciidae. It is widely distributed in sub-Saharan Africa, and is a vagrant to the southern Arabian Peninsula.",https://upload.wikimedia.org/wikipedia/commons/2/2a/Coracias_caudatus_2_MHNT.jpg,https://en.wikipedia.org/wiki/Lilac-breasted_roller
little auk,"The little auk or dovekie (Alle alle) is a small auk, the only member of the genus Alle. Alle is the Sami name of the long-tailed duck; it is onomatopoeic and imitates the call of the drake duck.",https://upload.wikimedia.org/wikipedia/commons/d/dc/AlleAlle_2.jpg,https://en.wikipedia.org/wiki/Little_auk
loggerhead shrike,"The loggerhead shrike (Lanius ludovicianus) is a passerine bird in the family Laniidae. It is the only member of the shrike family endemic to North America; the related northern shrike (L. borealis) occurs north of its range, however it is also found in Siberia.",https://upload.wikimedia.org/wikipedia/commons/7/73/Lanius_ludovicianus_-Texas_-USA-8-4c.jpg,https://en.wikipedia.org/wiki/Loggerhead_shrike
long-eared owl,"The long-eared owl (Asio otus), also known as the northern long-eared owl or, more informally, as the lesser horned owl or cat owl, is a medium-sized species of owl with an extensive breeding range. The scientific name is from Latin.",https://upload.wikimedia.org/wikipedia/commons/3/30/2011I30_Muzlja_P1301224_bowls.jpg,https://en.wikipedia.org/wiki/Long-eared_owl
magpie goose,The magpie goose (Anseranas semipalmata) is the sole living representative species of the family Anseranatidae. This common waterbird is found in northern Australia and southern New Guinea.,https://upload.wikimedia.org/wikipedia/commons/9/9a/Anseranas_semipalmata_MHNT.ZOO.2010.11.13.8.jpg,https://en.wikipedia.org/wiki/Magpie_goose
malabar hornbill,"The Malabar pied hornbill (Anthracoceros coronatus), also known as lesser pied hornbill, is a bird in the hornbill family, a family of tropical near-passerine birds found in the Old World.


== Taxonomy ==
The Malabar pied hornbill was described by the French polymath Georges-Louis Leclerc, Comte de Buffon in 1780 in his Histoire Naturelle des Oiseaux.",https://upload.wikimedia.org/wikipedia/commons/6/61/%22_Malabar_Pied_Hornbill_%22.jpg,https://en.wikipedia.org/wiki/Malabar_pied_hornbill
malachite kingfisher,The malachite kingfisher (Corythornis cristatus) is a river kingfisher which is widely distributed in Africa south of the Sahara. It is largely resident except for seasonal climate-related movements.,https://upload.wikimedia.org/wikipedia/commons/0/0f/Malachite_Kingfisher_3.jpg,https://en.wikipedia.org/wiki/Malachite_kingfisher
malagasy white eye,"The Malagasy white-eye (Zosterops maderaspatanus) is a species of bird in the white-eye family, Zosteropidae. Found in Madagascar and Seychelles, its natural habitats are subtropical or tropical dry forests, subtropical or tropical moist lowland forests, subtropical or tropical mangrove forests, and subtropical or tropical moist montane forests.",https://upload.wikimedia.org/wikipedia/commons/f/fa/Zosterops_maderaspatanus_MHNT_228.jpg,https://en.wikipedia.org/wiki/Malagasy_white-eye
maleo,The maleo (Macrocephalon maleo) is a large megapode and the only member of the monotypic genus Macrocephalon. The maleo is endemic to Sulawesi and the nearby smaller island of Buton in Indonesia.,https://upload.wikimedia.org/wikipedia/commons/4/4b/Status_iucn3.1_CR.svg,https://en.wikipedia.org/wiki/Maleo
mallard duck,"The mallard () or wild duck (Anas platyrhynchos) is a dabbling duck that breeds throughout the temperate and subtropical Americas, Eurasia, and North Africa, and has been introduced to New Zealand, Australia, Peru, Brazil, Uruguay, Argentina, Chile, Colombia, the Falkland Islands, and South Africa. This duck belongs to the subfamily Anatinae of the waterfowl family Anatidae.",https://upload.wikimedia.org/wikipedia/commons/a/ad/Anas_platyrhynchos_juvenile_JdP_2013-06-14_n01_retusche.jpg,https://en.wikipedia.org/wiki/Mallard
